area_id,year,sex,age_group,population
GMB,2005,male,Y070_074,6842.999999999999
GMB,2005,male,Y075_079,4635.999999999996
GMB,2005,male,Y080_999,4088.000000000001
GMB,2006,female,Y000_004,153845.94666058736
GMB,2006,female,Y005_009,126683.66279264304
GMB,2006,female,Y010_014,107861.23090921021
GMB,2006,female,Y015_019,92710.55086497078
GMB,2006,female,Y020_024,79220.13790946829
GMB,2006,female,Y025_029,67319.14217266979
GMB,2006,female,Y030_034,56928.54297295104
GMB,2006,female,Y035_039,46953.5397973423
GMB,2006,female,Y040_044,36551.3713519741
GMB,2006,female,Y045_049,25932.60442673568
GMB,2006,female,Y050_054,17712.937102245807
GMB,2006,female,Y055_059,14013.364290514275
GMB,2006,female,Y060_064,12584.26009527464
GMB,2006,female,Y065_069,10194.153324470648
GMB,2006,female,Y070_074,7903.638082904072
GMB,2006,female,Y075_079,5531.956427543204
GMB,2006,female,Y080_999,5320.983581645097
GMB,2006,male,Y000_004,157125.43155475165
GMB,2006,male,Y005_009,128731.64712055292
GMB,2006,male,Y010_014,108538.24928203863
GMB,2006,male,Y015_019,91207.94975603836
GMB,2006,male,Y020_024,75719.74003784561
GMB,2006,male,Y025_029,62516.50420116873
GMB,2006,male,Y030_034,51626.390189033555
GMB,2006,male,Y035_039,42312.080968750466
GMB,2006,male,Y040_044,33690.98819371445
GMB,2006,male,Y045_049,24848.42715863783
GMB,2006,male,Y050_054,17508.737282598395
GMB,2006,male,Y055_059,14057.03472206739
GMB,2006,male,Y060_064,12076.873469653829
GMB,2006,male,Y065_069,9275.8433145051
GMB,2006,male,Y070_074,6894.227254009389
GMB,2006,male,Y075_079,4645.758828552238
GMB,2006,male,Y080_999,4050.1038823858476
GMB,2007,female,Y000_004,158794.08061543823
GMB,2007,female,Y005_009,130746.57970101206
GMB,2007,female,Y010_014,110916.62821288957
GMB,2007,female,Y015_019,95199.15648638584
GMB,2007,female,Y020_024,81263.66409068191
GMB,2007,female,Y025_029,69044.3942115594
GMB,2007,female,Y030_034,58426.49056271307
GMB,2007,female,Y035_039,48481.21782778316
GMB,2007,female,Y040_044,38209.71679422029
GMB,2007,female,Y045_049,27637.363759238593
GMB,2007,female,Y050_054,18930.140025830617
GMB,2007,female,Y055_059,14372.713074629328
GMB,2007,female,Y060_064,12554.590308032479
GMB,2007,female,Y065_069,10388.959512427877
GMB,2007,female,Y070_074,7941.4562605557485
GMB,2007,female,Y075_079,5542.934598122909
GMB,2007,female,Y080_999,5274.378963512797
GMB,2007,male,Y000_004,162184.6833696851
GMB,2007,male,Y005_009,132926.68562650355
GMB,2007,male,Y010_014,111895.21055080598
GMB,2007,male,Y015_019,94123.19222814344
GMB,2007,male,Y020_024,78075.56385100998
GMB,2007,male,Y025_029,64412.83699543075
GMB,2007,male,Y030_034,53185.48408497467
GMB,2007,male,Y035_039,43669.3464376928
GMB,2007,male,Y040_044,34985.90449602405
GMB,2007,male,Y045_049,26225.124543753445
GMB,2007,male,Y050_054,18560.02187025801
GMB,2007,male,Y055_059,14339.638982395354
GMB,2007,male,Y060_064,12143.108217636234
GMB,2007,male,Y065_069,9507.322563010955
GMB,2007,male,Y070_074,6945.837999404613
GMB,2007,male,Y075_079,4655.538199540785
GMB,2007,male,Y080_999,4012.5590650970917
GMB,2008,female,Y000_004,163901.36097724072
GMB,2008,female,Y005_009,134939.7998658578
GMB,2008,female,Y010_014,114058.57610202598
GMB,2008,female,Y015_019,97754.56311244571
GMB,2008,female,Y020_024,83359.90413182422
GMB,2008,female,Y025_029,70813.86093443976
GMB,2008,female,Y030_034,59963.85330108929
GMB,2008,female,Y035_039,50058.60031447505
GMB,2008,female,Y040_044,39943.301810362034
GMB,2008,female,Y045_049,29454.190677932667
GMB,2008,female,Y050_054,20230.987064935653
GMB,2008,female,Y055_059,14741.27674433273
GMB,2008,female,Y060_064,12524.99047295819
GMB,2008,female,Y065_069,10587.488368630178
GMB,2008,female,Y070_074,7979.455394691741
GMB,2008,female,Y075_079,5553.934554888171
GMB,2008,female,Y080_999,5228.182538790207
GMB,2008,male,Y000_004,167406.83706926976
GMB,2008,male,Y005_009,137258.42981796383
GMB,2008,male,Y010_014,115355.99871041159
GMB,2008,male,Y015_019,97131.61340554683
GMB,2008,male,Y020_024,80504.68302725798
GMB,2008,male,Y025_029,66366.69184906792
GMB,2008,male,Y030_034,54791.66191933303
GMB,2008,male,Y035_039,45070.149579824676
GMB,2008,male,Y040_044,36330.59102829391
GMB,2008,male,Y045_049,27678.096200801163
GMB,2008,male,Y050_054,19674.429187239082
GMB,2008,male,Y055_059,14627.924751628641
GMB,2008,male,Y060_064,12209.706225352302
GMB,2008,male,Y065_069,9744.578390602066
GMB,2008,male,Y070_074,6997.835107033367
GMB,2008,male,Y075_079,4665.338156207674
GMB,2008,male,Y080_999,3975.3622915489786
GMB,2009,female,Y000_004,169172.9063581989
GMB,2009,female,Y005_009,139267.50228936845
GMB,2009,female,Y010_014,117289.52630485628
GMB,2009,female,Y015_019,100378.56386544439
GMB,2009,female,Y020_024,85510.2178153413
GMB,2009,female,Y025_029,72628.67547330336
GMB,2009,female,Y030_034,61541.66830977288
GMB,2009,female,Y035_039,51687.304439129184
GMB,2009,female,Y040_044,41755.54003988335
GMB,2009,female,Y045_049,31390.452289502955
GMB,2009,female,Y050_054,21621.22610097468
GMB,2009,female,Y055_059,15119.291599620923
GMB,2009,female,Y060_064,12495.460425126272
GMB,2009,female,Y065_069,10789.81103177704
GMB,2009,female,Y070_074,8017.636351172127
GMB,2009,female,Y075_079,5564.956341073706
GMB,2009,female,Y080_999,5182.3907322552695
GMB,2009,male,Y000_004,172797.1379002326
GMB,2009,male,Y005_009,141731.33458716527
GMB,2009,male,Y010_014,118923.82500531121
GMB,2009,male,Y015_019,100236.19152117532
GMB,2009,male,Y020_024,83009.37796218607
GMB,2009,male,Y025_029,68379.81359680819
GMB,2009,male,Y030_034,56446.34560599233
GMB,2009,male,Y035_039,46515.88697454041
GMB,2009,male,Y040_044,37726.960713996916
GMB,2009,male,Y045_049,29211.56801458458
GMB,2009,male,Y050_054,20855.74933852731
GMB,2009,male,Y055_059,14922.006251482768
GMB,2009,male,Y060_064,12276.669485074075
GMB,2009,male,Y065_069,9987.75495216986
GMB,2009,male,Y070_074,7050.221469234703
GMB,2009,male,Y075_079,4675.158741885987
GMB,2009,male,Y080_999,3938.5103353456
GMB,2010,female,Y000_004,174614.00000000012
GMB,2010,female,Y005_009,143734.00000000003
GMB,2010,female,Y010_014,120611.99999999993
GMB,2010,female,Y015_019,103072.99999999999
GMB,2010,female,Y020_024,87716.00000000007
GMB,2010,female,Y025_029,74490.00000000001
