iso3,year,kp,is_national,population_proportion
NGA,2015,FSW,0,0.016604829585387098
NGA,2015,FSW,0,0.014275843899735864
NGA,2015,FSW,0,0.17449738077126448
NGA,2015,FSW,0,0.0033380362983012083
NGA,2015,FSW,0,0.0022962510813674553
NGA,2015,FSW,0,0.004017052179428229
NGA,2015,FSW,0,0.009348660835667174
NGA,2015,FSW,0,0.012103903615786466
NGA,2015,FSW,0,0.21252665179038258
NGA,2015,FSW,0,0.016602129393569
NGA,2019,FSW,0,0.007967691409857222
NGA,2019,FSW,0,0.045635300982033125
NGA,2019,FSW,0,0.025838514724503575
NGA,2019,FSW,0,0.03740596189473449
NGA,2019,FSW,0,0.016180954999124017
NGA,2019,FSW,0,0.007887704825636764
NGA,2019,FSW,0,0.0033287847988094934
NGA,2019,FSW,0,0.18597706662957078
NGA,2019,FSW,0,0.0034890824099864134
NGA,2019,FSW,0,0.012230136506322585
NGA,2019,FSW,0,0.004283253800731916
NGA,2019,FSW,0,0.015045793692074603
NGA,2019,FSW,0,0.005582822945093188
NGA,2019,FSW,0,0.007823996586477184
NGA,2019,FSW,0,0.0064965421040597
NGA,2019,FSW,0,0.04461570184521847
NGA,2013,MSM,0,9.815580220813918e-5
NGA,2013,MSM,0,9.038229325760642e-4
NGA,2013,MSM,0,0.0024386233240096173
NGA,2013,MSM,0,2.0854439705580576e-4
NGA,2013,MSM,0,9.328987623487545e-4
NGA,2013,MSM,0,3.3652298429453207e-4
NGA,2013,MSM,0,0.027420494047872643
NGA,2013,MSM,0,9.064637837263846e-4
NGA,2013,MSM,0,0.010134228363795801
NGA,2013,MSM,1,7.328513858042088e-4
NGA,2013,MSM,0,0.001907030661396458
NGA,2015,MSM,0,0.0014052914785313074
NGA,2015,MSM,0,0.052247239887999626
NGA,2015,MSM,0,6.863811603142918e-4
NGA,2015,MSM,0,0.0028575576358510547
NGA,2015,MSM,0,0.0012958877384915528
NGA,2015,MSM,0,0.00409232350321516
NGA,2015,MSM,0,0.004554936291107365
NGA,2015,MSM,0,0.001255745761406966
NGA,2015,MSM,0,0.002611548745467777
NGA,2015,MSM,0,0.05807345597578954
NGA,2019,MSM,0,0.002023235388250915
NGA,2019,MSM,0,0.024853968209060943
NGA,2019,MSM,0,0.002444736045760487
NGA,2019,MSM,0,0.008644832092616333
NGA,2019,MSM,0,0.0033886503118169434
NGA,2019,MSM,0,9.511209120381245e-4
NGA,2019,MSM,0,0.0015464213448281043
NGA,2019,MSM,0,0.06698816713431646
NGA,2019,MSM,0,5.815892523300837e-4
NGA,2019,MSM,0,0.004475927359475398
NGA,2019,MSM,0,0.006451347306869607
NGA,2019,MSM,0,0.021195865295778712
NGA,2019,MSM,0,0.09479654541371345
NGA,2019,MSM,0,0.0020113629818029792
NGA,2019,MSM,0,0.020230463585213528
NGA,2019,MSM,0,0.0010024739452108749
NGA,2019,MSM,0,0.006448985720616362
NGA,2013,PWID,0,3.782311963942406e-4
NGA,2013,PWID,0,1.457451453172448e-4
NGA,2013,PWID,0,6.934893594413803e-5
NGA,2013,PWID,0,8.295840519454788e-5
NGA,2013,PWID,0,3.322088777086772e-5
NGA,2013,PWID,0,0.0761698068622182
NGA,2013,PWID,0,1.9866731929921904e-4
NGA,2013,PWID,0,0.0050489180534423524
NGA,2013,PWID,0,1.3626888105479758e-4
NGA,2013,PWID,1,2.3653687184159629e-4
NGA,2015,PWID,0,2.9559745102085346e-4
NGA,2015,PWID,0,9.350893665212689e-4
NGA,2015,PWID,0,0.003223291810603925
NGA,2015,PWID,0,9.572106527584298e-4
NGA,2015,PWID,0,8.296318924789236e-4
NGA,2015,PWID,0,0.02483525719290334
NGA,2015,PWID,0,0.0011512292945092895
NGA,2015,PWID,0,2.9479961714495373e-4
NGA,2015,PWID,0,7.954844751814739e-4
NGA,2015,PWID,0,0.006816398750978066
NGA,2015,PWID,0,8.458275772698997e-4
NGA,2015,PWID,0,0.02820427078082825
NGA,2015,PWID,0,0.0010707792158575575
NGA,2019,PWID,0,0.0018686680029192887
NGA,2019,PWID,0,0.005336845834400546
NGA,2019,PWID,0,0.0011523882406165205
NGA,2019,PWID,0,0.0205621314260034
NGA,2019,PWID,0,0.008550002338842861
NGA,2019,PWID,0,2.4205716390633423e-4
NGA,2019,PWID,0,5.514187427739332e-4
NGA,2019,PWID,0,0.0015634874055566977
NGA,2019,PWID,0,0.12183224158816602
NGA,2019,PWID,0,9.712502939750061e-4
NGA,2019,PWID,0,0.0024197854472968075
NGA,2019,PWID,0,0.001169147505833979
NGA,2019,PWID,0,0.0028523507247374276
NGA,2019,PWID,0,0.07653163110184501
NGA,2019,PWID,0,0.003788806299859082
NGA,2019,PWID,0,0.00786038866793107
NGA,2019,PWID,0,7.269788200975496e-4
SLE,2013,FSW,1,0.14711517105087854
SLE,2013,MSM,1,0.012051489958393889
SLE,2013,PWID,1,4.55799489454857e-4
SLE,2015,TG,1,0.0019745629827516106
SWZ,2015,FSW,1,0.04153931882271492
SWZ,2015,FSW,0,0.20984073805940578
SWZ,2015,FSW,0,0.0168229536958546
SWZ,2015,FSW,0,0.028845915529230784
SWZ,2015,FSW,0,0.004799991862478421
SWZ,2015,FSW,0,0.09593800386345362
SWZ,2015,FSW,0,0.1504256212589887
SWZ,2015,FSW,0,0.008582201592693977
SWZ,2015,FSW,0,0.0168229536958546
SWZ,2015,FSW,0,0.028845915529230784
SWZ,2015,FSW,0,0.004799991862478421
