"","iso3","year","kp","population_proportion","study_idx","logit_proportion"
"93","CIV",2018,"MSM",0.0040186983955847,39,-5.51277041590953
"94","CIV",2018,"MSM",0.00522043698939361,39,-5.24994005506707
"95","CIV",2018,"MSM",0.0109952700213429,39,-4.49923393193543
"96","CIV",2018,"MSM",0.00677382819478145,39,-4.98789201265223
"97","CIV",2018,"MSM",0.0155339029772833,39,-4.14907453659099
"98","CIV",2018,"MSM",0.01333357085765,39,-4.30404703830496
"99","CIV",2018,"MSM",0.00715196586864916,39,-4.93319034962602
"100","CIV",2018,"MSM",0.00489087645259501,39,-5.31548088196615
"101","CIV",2018,"MSM",0.0137322202555954,39,-4.27418298456898
"102","CIV",2018,"MSM",0.0103959399265928,39,-4.55588958556089
"103","CIV",2018,"MSM",0.00309230281376276,39,-5.77574212459728
"104","CIV",2018,"MSM",0.00609922043871141,39,-5.09347641623946
"105","CIV",2018,"MSM",0.021362452750084,39,-3.82452650982779
"106","CIV",2018,"MSM",0.00394170784888794,39,-5.532191688552
"107","CIV",2018,"MSM",0.0164868914773711,39,-4.08856535693993
"108","CIV",2018,"MSM",0.00503767224753482,39,-5.28576075513926
"109","CIV",2018,"MSM",0.0456203930574719,39,-3.04070667042236
"110","CIV",2018,"MSM",0.0055665853360497,39,-5.1853913221144
"111","CIV",2018,"MSM",0.00700356595470323,39,-4.95430763150199
"112","CIV",2018,"MSM",0.00774701668421916,39,-4.85267027299213
"113","CIV",2018,"MSM",0.00901541542861291,39,-4.69976304125645
"114","CIV",2018,"MSM",0.007760978930569,39,-4.85085554983481
"115","CIV",2018,"MSM",0.0125985864487994,39,-4.36149203635214
"116","CIV",2018,"MSM",0.0117771962069041,39,-4.42974304533877
"117","CIV",2018,"MSM",0.00717082819669296,39,-4.930537460277
"118","CIV",2018,"MSM",0.00915804603633066,39,-4.6839221991227
"119","CIV",2018,"MSM",0.0156865174320821,39,-4.13914284504299
"120","CIV",2018,"MSM",0.00284791714203973,39,-5.85831539906654
"121","CIV",2018,"MSM",0.00412012726042485,39,-5.48774258927441
"122","CIV",2018,"MSM",0.035725516815214,39,-3.29551079747847
"123","CIV",2018,"MSM",0.0195447121072086,39,-3.91531227386817
"124","CIV",2018,"MSM",0.0166904780502484,39,-4.07608556522785
"125","CIV",2018,"MSM",0.0330693041580249,39,-3.37552133835656
"126","CIV",2018,"MSM",0.01915381890576,39,-3.93591353279087
"127","CIV",2018,"MSM",0.0227366507151606,39,-3.76077797320878
"128","CIV",2018,"MSM",0.0190682286104671,39,-3.94047938059324
"129","CIV",2018,"MSM",0.0189876951397467,39,-3.94479385752396
"130","CIV",2018,"MSM",0.0125707091166787,39,-4.36373545561266
"131","CIV",2018,"MSM",0.0183715373390289,39,-3.97841030596061
"132","CIV",2018,"MSM",0.0407228123931868,39,-3.15939163480421
"133","CIV",2018,"MSM",0.0173182548102547,39,-4.03852417249284
"134","CIV",2018,"MSM",0.0169293018890719,39,-4.06163507817052
"135","CIV",2018,"MSM",0.0407394400760512,39,-3.15896607072116
"136","CIV",2018,"MSM",0.150101025640919,39,-1.73380891705867
"137","CIV",2018,"MSM",0.00362913866052143,39,-5.61512420250407
"138","CIV",2018,"MSM",0.0256896969208711,39,-3.63563982572873
