iso3,X,year,kp,value,denominator,provincial_value,ratio,x,region,log_kp_prev,log_gen_prev,log_gen_prev2,logit_kp_prev,logit_gen_prev,logit_gen_prev2,positive,negative
BEN,14,2013,PWID,0.001,3,0.00823678139433255,0,NA,WCA,-6.907755278982137,-4.799145618851645,-4.799145618851645,-6.906754778648554,-4.790874727741463,-4.790874727741463,0,3
BEN,15,2013,PWID,0.059,17,0.00297478683360656,19.8333538838713,NA,WCA,-2.8302178350764176,-5.817582895120935,-5.817582895120935,-2.7694056956796604,-5.814603674814369,-5.814603674814369,1,16
BEN,16,2013,PWID,0.067,119,0.00823678139433255,8.13424525823891,NA,WCA,-2.703062659591171,-4.799145618851645,-4.799145618851645,-2.6337125814563778,-4.790874727741463,-4.790874727741463,8,111
BEN,17,2013,PWID,0.069,102,0.00823678139433255,8.37705854952963,NA,WCA,-2.6736487743848776,-4.799145618851645,-4.799145618851645,-2.6021527726798075,-4.790874727741463,-4.790874727741463,7,95
BEN,18,2015,PWID,0.167,12,0.00771098717053047,21.6574086179567,NA,WCA,-1.7897614665653818,-4.865109061920732,-4.865109061920732,-1.6070398297500874,-4.857368191369263,-4.857368191369263,2,10
BEN,19,2015,PWID,0.043,368,0.00771098717053047,5.57645850641998,NA,WCA,-3.146555163288575,-4.865109061920732,-4.865109061920732,-3.102603275759392,-4.857368191369263,-4.857368191369263,16,352
BEN,20,2015,PWID,0.045,309,0.00771098717053047,5.83582866950928,NA,WCA,-3.101092789211817,-4.865109061920732,-4.865109061920732,-3.0550488507104103,-4.857368191369263,-4.857368191369263,14,295
BEN,21,2015,PWID,0.047,380,0.00771098717053047,6.09519883259858,NA,WCA,-3.0576076772720784,-4.865109061920732,-4.865109061920732,-3.0094673019441434,-4.857368191369263,-4.857368191369263,18,362
BEN,22,2015,PWID,0.056,71,0.00278489157485549,20.1085027889841,NA,WCA,-2.8824035882469876,-5.883546338190021,-5.883546338190021,-2.8247744754103516,-5.880757561590031,-5.880757561590031,4,67
BEN,23,2017,PWID,0.001,97,0.00256689451597316,0,NA,WCA,-6.907755278982137,-5.965058470273575,-5.965058470273575,-6.906754778648554,-5.962488275635287,-5.962488275635287,0,97
BEN,24,2017,PWID,0.017,478,0.00710738287245569,2.39187902285139,NA,WCA,-4.074541934925921,-4.946621194004285,-4.946621194004285,-4.05739577609095,-4.93948843336837,-4.93948843336837,8,470
BEN,25,2017,PWID,0.167,18,0.00710738287245569,23.4966939303636,NA,WCA,-1.7897614665653818,-4.946621194004285,-4.946621194004285,-1.6070398297500874,-4.93948843336837,-4.93948843336837,3,15
BEN,26,2017,PWID,0.022,496,0.00710738287245569,3.0953728531018,NA,WCA,-3.816712825623821,-4.946621194004285,-4.946621194004285,-3.7944672166765017,-4.93948843336837,-4.93948843336837,11,485
BEN,27,2017,PWID,0.028,399,0.00710738287245569,3.93956544940229,NA,WCA,-3.575550768806933,-4.946621194004285,-4.946621194004285,-3.5471512942852352,-4.93948843336837,-4.93948843336837,11,388
BEN,28,2011,FSW,0.243,358,0.00540660418133657,44.9450323807369,NA,WCA,-1.4146938356415886,-5.2201340761191775,-5.2201340761191775,-1.1363018100969002,-5.214712803358094,-5.214712803358094,87,271
BEN,29,2011,FSW,0.269,1011,0.0144088061852675,18.6691386185098,NA,WCA,-1.313043899380298,-4.2399157186713845,-4.2399157186713845,-0.9997020801479393,-4.225402097581522,-4.225402097581522,272,739
BEN,30,2011,FSW,0.283,28,0.0144088061852675,19.6407666506998,NA,WCA,-1.2623083813388996,-4.2399157186713845,-4.2399157186713845,-0.929628942956383,-4.225402097581522,-4.225402097581522,8,20
BEN,32,2012,FSW,0.133,302,0.0053678161439932,24.7773016869872,NA,WCA,-2.017406150760383,-5.227334130273158,-5.227334130273158,-1.8746898485587882,-5.221951855640538,-5.221951855640538,40,262
BEN,33,2012,FSW,0.21,1011,0.0143054345875617,14.6797357825529,NA,WCA,-1.5606477482646683,-4.247115772825368,-4.247115772825368,-1.3249254147435987,-4.23270702906982,-4.23270702906982,212,799
BEN,34,2012,FSW,0.243,709,0.0143054345875617,16.9865514055255,NA,WCA,-1.4146938356415886,-4.247115772825368,-4.247115772825368,-1.1363018100969002,-4.23270702906982,-4.23270702906982,172,537
BEN,35,2015,FSW,0.157,1106,0.0138811074820977,11.3103367438427,NA,WCA,-1.851509473633829,-4.277226537310022,-4.277226537310022,-1.6807211526535473,-4.263248186308219,-4.263248186308219,174,932
BEN,36,2015,FSW,0.191,802,0.0138811074820977,13.7597090323182,NA,WCA,-1.6554818509355071,-4.277226537310022,-4.277226537310022,-1.4435254890118618,-4.263248186308219,-4.263248186308219,153,649
BEN,37,2015,FSW,0.069,304,0.0052085962424165,13.2473312940048,NA,WCA,-2.6736487743848776,-5.257444894757812,-5.257444894757812,-2.6021527726798075,-5.252222686491055,-5.252222686491055,21,283
BEN,38,2017,FSW,0.107,720,0.0133204477821417,8.03276299340716,NA,WCA,-2.234926444520231,-4.318454997157037,-4.318454997157037,-2.121757746414593,-4.305045036419881,-4.305045036419881,77,643
BEN,39,2017,FSW,0.029,279,0.00499822037649717,5.80206509828277,NA,WCA,-3.540459448995663,-5.298673354604833,-5.298673354604833,-3.5110306383048506,-5.293662601346023,-5.293662601346023,8,271
BEN,40,2017,FSW,0.085,999,0.0133204477821417,6.38116686392158,NA,WCA,-2.4651040224918206,-4.318454997157037,-4.318454997157037,-2.3762728087852047,-4.305045036419881,-4.305045036419881,85,914
BFA,1,2011,MSM,0.001,158,0.00627851543669928,0,NA,WCA,-6.907755278982137,-5.070621721877885,-5.070621721877885,-6.906754778648554,-5.064323413673518,-5.064323413673518,0,158
BFA,2,2011,MSM,0.01,306,0.00971334715980581,1.02951123186252,NA,WCA,-4.605170185988091,-4.634254343431303,-4.634254343431303,-4.59511985013459,-4.624493513990205,-4.624493513990205,3,303
