iso3,year,age,sex,totpop,hivpop,artpop,infections
BWA,2022,43,male,17224.65039,4594.61324,4105.55344,26.51747
BWA,2022,44,female,16344.19141,7337.67465,7246.99816,21.62972
BWA,2022,44,male,16272.78906,4648.1713,4181.73163,23.37383
BWA,2022,45,female,15155.1582,7012.26294,6929.2476,18.48455
BWA,2022,45,male,15288.67871,4649.92567,4211.20988,20.45931
BWA,2022,46,female,14039.83301,6622.27579,6546.55951,15.91302
BWA,2022,46,male,14359.59766,4618.68161,4209.71937,17.88909
BWA,2022,47,female,12960.10059,6163.14499,6094.47794,13.78236
BWA,2022,47,male,13372.51855,4515.97989,4138.96091,15.52601
BWA,2022,48,female,12022.60547,5702.13092,5639.80693,12.11605
BWA,2022,48,male,12436.37402,4376.16168,4029.61805,13.48776
BWA,2022,49,female,11200.46484,5246.45102,5189.92161,10.79258
BWA,2022,49,male,11536.63477,4196.22824,3879.01526,11.72401
CAF,2022,15,female,63942.07031,315.5537,152.07629,53.99319
CAF,2022,15,male,64286.13672,287.66394,120.50016,25.90651
CAF,2022,16,female,62872.49609,403.27661,196.29469,74.9322
CAF,2022,16,male,63121.73047,330.7915,137.64577,35.96558
CAF,2022,17,female,61567.52344,529.07071,263.06075,87.19271
CAF,2022,17,male,61715.94531,398.01978,158.54567,41.96646
CAF,2022,18,female,60182.14062,641.74679,329.62924,88.08961
CAF,2022,18,male,60242.00781,449.93984,174.9089,42.66259
CAF,2022,19,female,58649.21875,753.92626,403.50704,80.95416
CAF,2022,19,male,58644.64453,499.99003,190.66899,39.61585
CAF,2022,20,female,56939.87109,868.63197,496.21717,71.59743
CAF,2022,20,male,56896.3125,544.62083,202.03495,35.54406
CAF,2022,21,female,55015.91797,968.72231,584.08237,63.99025
CAF,2022,21,male,54965.60547,595.61127,231.54653,32.27037
CAF,2022,22,female,52842.05078,1063.0341,670.02274,57.47674
CAF,2022,22,male,52803.35547,648.70385,266.61512,29.46338
CAF,2022,23,female,50458.66406,1141.41821,743.50304,53.17367
CAF,2022,23,male,50446.07812,690.908,292.85973,27.63902
CAF,2022,24,female,47941.07031,1211.30489,810.74996,50.3068
CAF,2022,24,male,47946.91406,726.83072,315.42572,26.4345
CAF,2022,25,female,45322.375,1272.24149,873.04342,47.16938
CAF,2022,25,male,45331.53906,755.45948,337.17901,25.05891
CAF,2022,26,female,42627.88672,1316.32005,923.0841,43.22442
CAF,2022,26,male,42636.58594,776.04457,355.64551,23.26642
CAF,2022,27,female,39871.22266,1338.77584,956.39134,39.37718
CAF,2022,27,male,39881.42969,787.61824,370.23431,21.47861
CAF,2022,28,female,37106.125,1342.60549,975.07845,35.68039
CAF,2022,28,male,37122.08984,790.31316,381.18272,19.72716
CAF,2022,29,female,34418.88281,1330.84425,980.35639,32.21331
CAF,2022,29,male,34453.03516,782.59929,385.38691,18.06379
CAF,2022,30,female,31963.60547,1312.0479,978.71813,29.1062
CAF,2022,30,male,32026.92773,770.96159,386.57275,16.56423
CAF,2022,31,female,29826.0957,1293.74316,976.13277,26.4134
CAF,2022,31,male,29920.68164,760.93567,388.334,15.26132
CAF,2022,32,female,28026.8125,1283.53546,979.09321,24.12308
CAF,2022,32,male,28145.55664,755.41932,392.3288,14.15346
