"","iso3","year","kp","population_proportion","study_idx","logit_proportion"
"349","MLI",2015,"PWID",0.00125020006456762,117,-6.68320070660409
"350","MLI",2018,"PWID",0.00178372718707161,118,-6.32726485864045
"351","MLI",2019,"TG",0.00017618319896581,121,-8.64381000235436
"352","MOZ",2011,"FSW",0.0165402048531728,122,-4.08528268279324
"353","MOZ",2011,"FSW",0.0576019169408205,122,-2.79487193141932
"354","MOZ",2011,"FSW",0.0421804474088125,122,-3.12270261963885
"355","MOZ",2012,"FSW",0.0319520590587365,124,-3.41104498678618
"356","MOZ",2012,"FSW",0.0572815097157406,124,-2.80078983331206
"357","MOZ",2019,"FSW",0.0114024351370683,126,-4.46246039654791
"358","MOZ",2011,"MSM",0.0127618444373956,123,-4.34845148683472
"359","MOZ",2011,"MSM",0.0197899779878842,123,-3.90259120955045
"360","MOZ",2011,"MSM",0.0162030627769685,123,-4.10621922647002
"361","MOZ",2011,"MSM",0.018481324375103,123,-3.97234031220653
"362","MOZ",2011,"MSM",0.049620124341896,123,-2.95246528963889
"363","MOZ",2019,"MSM",0.00668356862307381,127,-5.001397205382
"364","MOZ",2014,"PWID",0.000917476720148393,125,-6.99296545363319
"365","MOZ",2014,"PWID",0.00129295762440453,125,-6.6495291585965
"366","MOZ",2014,"PWID",0.0039206574854356,125,-5.53756754995663
"367","MWI",2011,"FSW",0.00556377897108926,128,-5.18589841609215
"368","MWI",2014,"FSW",0.00390472635117801,129,-5.54165520497049
"369","MWI",2016,"FSW",0.0135546718790481,131,-4.28737662785562
"370","MWI",2016,"FSW",0.0173025019122542,131,-4.039450229155
"371","MWI",2016,"FSW",0.0172224889706519,131,-4.04416672975312
"372","MWI",2016,"FSW",0.0139976812736982,131,-4.25476701365833
"373","MWI",2016,"FSW",0.00479090749024684,131,-5.33623300966266
"374","MWI",2016,"FSW",0.00704536586890474,131,-4.94831490020025
"375","MWI",2017,"FSW",0.00733697642800352,133,-4.90746442759113
"376","MWI",2018,"FSW",0.026988790156001,135,-3.58497400264204
"377","MWI",2018,"FSW",0.0165289039251967,135,-4.0859776471373
"378","MWI",2018,"FSW",0.00667411632601046,135,-5.00282198124001
"379","MWI",2018,"FSW",0.0035629337916328,135,-5.6336016785707
"380","MWI",2018,"FSW",0.00907332219958768,135,-4.69330206203024
"381","MWI",2018,"FSW",0.00217562597401585,135,-6.12826085561746
"382","MWI",2018,"FSW",0.0106856721405599,135,-4.52810831319789
"383","MWI",2019,"FSW",0.0101091259181699,137,-4.58415613671246
"384","MWI",2014,"MSM",0.0271331168487208,130,-3.57949225632771
"385","MWI",2016,"MSM",0.00420986344430765,132,-5.46610631797674
"386","MWI",2016,"MSM",0.00506836058198468,132,-5.27965662199431
"387","MWI",2016,"MSM",0.00487355231911898,132,-5.3190467120129
"388","MWI",2016,"MSM",0.00600319413599724,132,-5.10944230965851
"389","MWI",2016,"MSM",0.000209440129450624,132,-8.47086317565802
"390","MWI",2016,"MSM",0.000293295379296744,132,-8.13403699789388
"391","MWI",2017,"MSM",0.0103398428117518,134,-4.56135694162217
"392","MWI",2018,"MSM",0.0122492689229873,136,-4.38996411398131
"393","MWI",2018,"MSM",0.00729636188097141,136,-4.91305631700572
"394","MWI",2018,"MSM",0.00515910459089952,136,-5.26181978472096
"395","MWI",2018,"MSM",0.00104069979853738,136,-6.86682066720167
"396","MWI",2018,"MSM",0.00164693104143189,136,-6.40719340913733
"397","MWI",2018,"MSM",0.00110811547179796,136,-6.80398574977736
"398","MWI",2019,"MSM",0.00815573564698829,138,-4.80084466328455
"399","MWI",2019,"TG",0.000726023507162406,139,-7.22720187746223
"400","NGA",2007,"FSW",0.138757092354125,158,-1.82565171995404
"401","NGA",2007,"FSW",0.00540042167097214,158,-5.21586318458155
"402","NGA",2007,"FSW",0.0139859115710134,158,-4.25562013638527
"403","NGA",2013,"FSW",0.183262508370626,159,-1.49439813861446
"404","NGA",2013,"FSW",0.0386480609944954,159,-3.21384395812076
"405","NGA",2013,"FSW",0.00474399268536464,159,-5.3461208780244
"406","NGA",2013,"FSW",0.00930332015179698,159,-4.66803707063685
"407","NGA",2013,"FSW",0.0122160897245498,159,-4.39271004680223
"408","NGA",2013,"FSW",0.0172090340672527,159,-4.04496196603296
"409","NGA",2013,"FSW",0.518503874809529,159,0.0740493169215174
"410","NGA",2013,"FSW",0.00940934983893403,159,-4.65659752290601
"411","NGA",2013,"FSW",0.0219814363119747,159,-3.7953303579766
"412","NGA",2013,"FSW",0.00472894823152994,159,-5.34931229731916
"413","NGA",2013,"FSW",0.0475851740626733,159,-2.99647943796522
"414","NGA",2015,"FSW",0.00229784958542688,162,-6.07348106256224
"415","NGA",2015,"FSW",0.00498619804281789,162,-5.29608290428462
"416","NGA",2015,"FSW",0.01157300556956,162,-4.44743950486187
"417","NGA",2015,"FSW",0.0166048295853871,162,-4.08131745192924
"418","NGA",2015,"FSW",0.0142758438997359,162,-4.23480768380074
"419","NGA",2015,"FSW",0.174497380771264,162,-1.55408270463185
"420","NGA",2015,"FSW",0.00333803629830121,162,-5.69902895956463
"421","NGA",2015,"FSW",0.00229625108136746,162,-6.07417855899876
"422","NGA",2015,"FSW",0.00401705217942823,162,-5.51318179183214
"423","NGA",2015,"FSW",0.00934866083566717,162,-4.66312953823215
"424","NGA",2015,"FSW",0.0121039036157865,162,-4.40204951316529
"425","NGA",2015,"FSW",0.212526651790383,162,-1.30976212589369
"426","NGA",2015,"FSW",0.00917844876859045,162,-4.68167623782504
"427","NGA",2019,"FSW",0.00796769140985722,165,-4.82436088504805
"428","NGA",2019,"FSW",0.0456353009820331,165,-3.04036432111426
